,formulas,rmse,pearson_coeff,pval
162,(EA_A + IP_B**2)/((EA_B**2)),0.1560752377450243,0.5940707958190419,4.020537973484024e-09
163,(EA_A + IP_B**2)/((EA_B**3)),0.1636167553720137,-0.5714481159373352,2.0600434194738117e-08
164,(EA_A + IP_B**2)/((IP_A**2)),0.1903023339004973,-0.33760435656054555,0.00192338061563662
165,(EA_A + IP_B**2)/((IP_A**3)),0.1932099151387708,0.31936260705621555,0.0034495152085063843
166,(EA_A + IP_B**2)/((IP_B**2)),0.208079456465682,-0.12109697087584317,0.2784804195309836
167,(EA_A + IP_B**2)/((IP_B**3)),0.2022015130468507,-0.2056223464953566,0.06384493594538418
168,(EA_A + IP_B**2)/((Z_A**2)),0.2193674899318775,0.10941460038189438,0.32781594976524464
169,(EA_A + IP_B**2)/((Z_A**3)),0.2159299556395264,0.053457921538276304,0.6333679711977198
170,(EA_A + IP_B**2)/((Z_B**2)),0.211069361949482,0.1302695196498188,0.24340849811804635
171,(EA_A + IP_B**2)/((Z_B**3)),0.2065656282938191,0.22798682563431777,0.03939578343607995
172,(EA_A + IP_B**2)/((rp_A**2)),0.07094301810822193,0.8333263215346896,2.6927357914659974e-22
173,(EA_A + IP_B**2)/((rp_A**3)),0.03483810535111505,0.9143088338322194,3.844447860546276e-33
174,(EA_A + IP_B**2)/((rp_B**2)),0.2058815417170307,-0.14290075039956673,0.2002850230401252
175,(EA_A + IP_B**2)/((rp_B**3)),0.2055264321000461,-0.1466018335313513,0.1887555800111897
176,(EA_A + IP_B**2)/((rs_A**2)),0.1350835814717153,0.6427142308319802,7.531786428109694e-11
177,(EA_A + IP_B**2)/((rs_A**3)),0.06575242070117944,0.8425938144828635,3.306265714942337e-23
178,(EA_A + IP_B**2)/((rs_B**2)),0.2050087475498981,-0.15810528911616512,0.15599667831046493
179,(EA_A + IP_B**2)/((rs_B**3)),0.2050170590890662,-0.15578761233213456,0.16223052741820687
